FLORES,INDONESIA
KING WILLIAM ISLAND,CANADA
NEGROS,PHILIPPINES
SAMAR,PHILIPPINES
PALAWAN,PHILIPPINES
PANAY,PHILIPPINES
"YOS SUDARSO ISLAND
(DOLAK)",INDONESIA
BANGKA ISLAND,INDONESIA
ELLEF RINGNES ISLAND,CANADA
BOLSHEVIK ISLAND,RUSSIA
"JAMAICA
(MAIN ISLAND)",JAMAICA
BYLOT ISLAND,CANADA
SUMBA,INDONESIA
MINDORO,PHILIPPINES
VITI LEVU,FIJI
HAWAII,USA
CAPE BRETON ISLAND,CANADA
PRINCE CHARLES ISLAND,CANADA
BOUGAINVILLE ISLAND,PAPUA NEW GUINEA
KODIAK ISLAND,USA
"CYPRUS
(MAIN ISLAND)",CYPRUS
"PUERTO RICO
(MAIN ISLAND)",PUERTO RICO
KOMSOMOLETS ISLAND,RUSSIA
CORSICA,FRANCE
DISKO ISLAND,
CARNEY ISLAND,
CHILOÉ ISLAND,CHILE
BURU,INDONESIA
CRETE,GREECE
ANTICOSTI ISLAND,CANADA
ROOSEVELT ISLAND,
"WRANGEL ISLAND
(VRANGELYA)",RUSSIA
"TUPINAMBARANA
(WESTERN PART)",BRAZIL
NEW IRELAND,PAPUA NEW GUINEA
LEYTE,PHILIPPINES
EAST FALKLAND,FALKLAND ISLANDS
ZEALAND,
CORNWALLIS ISLAND,CANADA
PRINCE OF WALES ISLAND,USA
"GRANDE TERRE
(KERGUELEN)",FRANCE
SIPLE ISLAND,
GRAHAM ISLAND,CANADA
"NEW SIBERIA
(NOVAYA SIBIR)",RUSSIA
MELVILLE ISLAND,AUSTRALIA
PRINCE EDWARD ISLAND,CANADA
VANUA LEVU,FIJI
WELLINGTON ISLAND,CHILE
COATS ISLAND,CANADA
BALI,INDONESIA
CHICHAGOF ISLAND,USA
GUADALCANAL,SOLOMON ISLANDS
AMUND RINGNES ISLAND,CANADA
BOLSHOY LYAKHOVSKY ISLAND,RUSSIA
ST. LAWRENCE ISLAND,USA
RIESCO ISLAND,CHILE
EDGEØYA,NORWAY
MACKENZIE KING ISLAND,CANADA
TRINIDAD,TRINIDAD AND TOBAGO
CAVIANA,BRAZIL
KOLGUYEV ISLAND,RUSSIA
GURUPÁ,BRAZIL
ISABELA ISLAND,ECUADOR
"NORTH JUTLANDIC ISLAND
(VENDSYSSEL-THY)",
LOMBOK,INDONESIA
WEST FALKLAND,FALKLAND ISLANDS
BELITUNG,INDONESIA
CEBU,PHILIPPINES
ADELAIDE ISLAND,
STEFANSSON ISLAND,CANADA
MADURA ISLAND,INDONESIA
BUTON,INDONESIA
KANGAROO ISLAND,AUSTRALIA
ADMIRALTY ISLAND,USA
NUNIVAK ISLAND,USA
UNIMAK ISLAND,USA
HOSTE ISLAND,CHILE
SPAATZ ISLAND,
BARANOF ISLAND,USA
NIAS,INDONESIA
ESPIRITU SANTO,VANUATU
MILNE LAND,
MALAITA,SOLOMON ISLANDS
SIBERUT,INDONESIA
BOHOL,PHILIPPINES
EUBOEA,GREECE
SANTA INÉS ISLAND,CHILE
MALLORCA,SPAIN
SANTA ISABEL ISLAND,SOLOMON ISLANDS
LONG ISLAND,USA
SOCOTRA,YEMEN
WETAR,INDONESIA
"TUPINAMBARANA
(NORTHERN PART)",BRAZIL
TRAILL ISLAND,
BEAR ISLAND,
NORTH ANDROS ISLAND,THE BAHAMAS
VAYGACH ISLAND,RUSSIA
MASBATE ISLAND,PHILIPPINES
"MAKIRA
(SAN CRISTÓBAL)",SOLOMON ISLANDS
MANSEL ISLAND,CANADA
"ITURUP
(ETOROFU)",RUSSIA
YAMDENA,INDONESIA
WAIGEO,INDONESIA
AKIMISKI ISLAND,CANADA
GOTLAND,SWEDEN
FUNEN,
CHOISEUL ISLAND,SOLOMON ISLANDS
REVILLAGIGEDO ISLAND,USA
TALIABU ISLAND REGENCY,INDONESIA
MUNA ISLAND,INDONESIA
ZEMLYA GEORGA,RUSSIA
KUPREANOF ISLAND,USA
BORDEN ISLAND,CANADA
NORTH ANDAMAN ISLAND,INDIA
MANITOULIN ISLAND,CANADA
UNALASKA ISLAND,USA
SAAREMAA,ESTONIA
MORESBY ISLAND,CANADA
JAMES ROSS ISLAND,
OBI,INDONESIA
REUNION ISLAND,FRANCE
NAVARINO ISLAND,CHILE
PARAMUSHIR,RUSSIA
ROSS ISLAND,
YMER ISLAND,
ANVERS ISLAND,
CORNWALL ISLAND,CANADA
PELENG,INDONESIA
GROOTE EYLANDT,AUSTRALIA
YAPEN,INDONESIA
MOROTAI,INDONESIA
PRINCESS ROYAL ISLAND,CANADA
ISLA DE LA JUVENTUD,CUBA
HINNØYA,NORWAY
NELSON ISLAND,USA
RICHARDS ISLAND,CANADA
AYON ISLAND,RUSSIA
TRANGAN,INDONESIA
ALOR ISLAND,INDONESIA
MARGARITA ISLAND,COLOMBIA
LEWIS AND HARRIS,UNITED KINGDOM
LAUT ISLAND,INDONESIA
MALAKULA,VANUATU
NEW GEORGIA,SOLOMON ISLANDS
MISOOL,INDONESIA
MAGDALENA ISLAND,CHILE
RENÉ-LEVASSEUR ISLAND,CANADA
TENERIFE,SPAIN
WILCZEK LAND,RUSSIA
KUIU ISLAND,USA
MANUS ISLAND,PAPUA NEW GUINEA
KARAGINSKY ISLAND,RUSSIA
BIOKO,EQUATORIAL GUINEA
BIAK,INDONESIA
MAUI,USA
BACAN ISLAND,INDONESIA
"ŽITNÝ OSTROV
(RYE ISLAND)",SLOVAKIA
"MAURITIUS
(MAIN ISLAND)",MAURITIUS
K'GARI,AUSTRALIA
JEJU ISLAND,SOUTH KOREA
"STEWART ISLAND
(RAKIURA)",NEW ZEALAND
BELY ISLAND,RUSSIA
AFOGNAK,USA
UMNAK,USA
BOLSHOY SHANTAR ISLAND,RUSSIA
BOLSHOY BEGICHEV ISLAND,RUSSIA
SIMEULUE,INDONESIA
KOBROOR,INDONESIA
AIR FORCE ISLAND,CANADA
SAVAIʻI,SAMOA
GEOGRAPHICAL SOCIETY ISLAND,
BATHURST ISLAND,AUSTRALIA
BERING ISLAND,RUSSIA
ISLE OF SKYE,UNITED KINGDOM
LESBOS,GREECE
SOISALO,FINLAND
FUERTEVENTURA,SPAIN
NATUNA BESAR,INDONESIA
SALAWATI,INDONESIA
GREAT INAGUA,THE BAHAMAS
JOINVILLE ISLAND,
"TANAHBESAR
(WOKAM)",INDONESIA
"TEBING TINGGI ISLAND
(RANTAU)",INDONESIA
SENJA,NORWAY
FLAHERTY ISLAND,CANADA
OAHU,USA
"UNGUJA
(ZANZIBAR)",TANZANIA
GRAHAM BELL ISLAND,RUSSIA
EGLINTON ISLAND,CANADA
MIDDLE ANDAMAN ISLAND,INDIA
CLAVERING ISLAND,
GRAN CANARIA,SPAIN
PIONEER ISLAND,RUSSIA
CATANDUANES,PHILIPPINES
HATIYA ISLAND,BANGLADESH
COPPER ISLAND,USA
RUPAT,INDONESIA
"KUNASHIR
(KUNASHIRI)",RUSSIA
QESHM ISLAND,IRAN
NARES LAND,
CAMARGUE,FRANCE
SOUTH ANDROS ISLAND,THE BAHAMAS
FERGUSSON ISLAND,PAPUA NEW GUINEA
URUP,RUSSIA
KAUAI,USA
SÃO LUÍS ISLAND,BRAZIL
RHODES,GREECE
KING GEORGE ISLAND,
GRAHAM ISLAND,CANADA
PITT ISLAND,CANADA
NOTTINGHAM ISLAND,CANADA
CHONGMING ISLAND,CHINA
DESOLACIÓN ISLAND,CHILE
RAMREE ISLAND,MYANMAR
ÖLAND,SWEDEN
FLINDERS ISLAND,AUSTRALIA
LOUGHEED ISLAND,CANADA
BHOLA ISLAND,BANGLADESH
DAWSON ISLAND,CHILE
"BARENTSØYA
(BARENTS)",NORWAY
"LEMBATA
(LOMBLEN)",INDONESIA
BASILAN,PHILIPPINES
SHANNON ISLAND,
MILL ISLAND,
MORFIL ISLAND,SENEGAL
LOLLAND,
MANGOLE ISLAND,INDONESIA
"NEW HANOVER ISLAND
(LAVONGAI)",PAPUA NEW GUINEA
ROTE ISLAND,INDONESIA
SOUTH ANDAMAN ISLAND,INDIA
OKINAWA ISLAND,JAPAN
SÖDERTÖRN,SWEDEN
"OLENY ISLAND
(OLENIY ISLAND)",RUSSIA
TIBURÓN ISLAND,MEXICO
CAMPANA ISLAND,CHILE
BINTAN ISLAND,INDONESIA
MARTINIQUE,FRANCE
ARACENA ISLAND,CHILE
SHERMAN ISLAND,
BYAM MARTIN ISLAND,CANADA
GREAT ABACO,THE BAHAMAS
LIFOU ISLAND,FRANCE
WALES ISLAND,CANADA
ÎLE VANIER,CANADA
UPOLU,SAMOA
KING ISLAND,AUSTRALIA
CLARENCE ISLAND,CHILE
PADANG ISLAND,INDONESIA
GRAND BAHAMA,THE BAHAMAS
"ALEXANDRA LAND
(ZEMLYA ALEKSANDRY)",RUSSIA
ROWLEY ISLAND,CANADA
TAHITI,FRANCE
SÄÄMINGINSALO,FINLAND
SERRANO ISLAND,CHILE
ATKA ISLAND,USA
CAMERON ISLAND,CANADA
ZHONGSHAN ISLAND,CHINA
"HALL ISLAND
(GALLYA)",RUSSIA
MADRE DE DIOS ISLAND,CHILE
NORMANBY ISLAND,PAPUA NEW GUINEA
HIIUMAA,ESTONIA
MARGARITA ISLAND,VENEZUELA
MORNINGTON ISLAND,AUSTRALIA
RESOLUTION ISLAND,CANADA
GRANDE COMORE,COMOROS
SMYLEY ISLAND,
FLETCHER ISLAND,
CHARCOT ISLAND,
AKROTIRI AND DHEKELIA,UNITED KINGDOM
ANGUILLA,UNITED KINGDOM
BERMUDA,UNITED KINGDOM
BRITISH ANTARCTIC TERRITORY,UNITED KINGDOM
BRITISH INDIAN OCEAN TERRITORY,UNITED KINGDOM
BRITISH VIRGIN ISLANDS,UNITED KINGDOM
CAYMAN ISLANDS,UNITED KINGDOM
FALKLAND ISLANDS,UNITED KINGDOM
GIBRALTAR,UNITED KINGDOM
MONTSERRAT,UNITED KINGDOM
PITCAIRN ISLANDS,UNITED KINGDOM
SAINT HELENA,UNITED KINGDOM
ASCENSION ISLAND,UNITED KINGDOM
TRISTAN DA CUNHA,UNITED KINGDOM
SOUTH GEORGIA,UNITED KINGDOM
SOUTH SANDWICH ISLANDS,UNITED KINGDOM
TURKS AND CAICOS,UNITED KINGDOM
TURKS AND CAICOS ISLANDS,UNITED KINGDOM
AMERICAN SAMOA,USA
GUAM,USA
NORTHERN MARIANA ISLANDS,USA
PUERTO RICO,USA
U.S. VIRGIN ISLANDS,USA
BAKER ISLAND,USA
HOWLAND ISLAND,USA
JARVIS ISLAND,USA
JOHNSTON ATOLL,USA
KINGMAN REEF,USA
MIDWAY ATOLL,USA
NAVASSA ISLAND,USA
PALMYRA ATOLL,USA
WAKE ISLAND,USA
SOUTH ATLANTIC OCEAN,ATLANTIC OCEAN
MID ATLANTIC OCEAN,ATLANTIC OCEAN
NORTH ATLANTIC OCEAN,ATLANTIC OCEAN
SOUTH PACIFIC OCEAN,PACIFIC OCEAN
MID PACIFIC OCEAN,PACIFIC OCEAN
NORTH PACIFIC OCEAN,PACIFIC OCEAN
MAYOTTE,FRANCE
ROATAN,HONDURAS
CEYLON,SRI LANKA
ADMIRALTY ISLANDS,PAPUA NEW GUINEA
ANDAMAN ISLANDS,INDIA
ANTIGUA,ANTIGUA AND BARBUDA
AZORES,PORTUGAL
BRITISH NEW GUINEA,PAPUA NEW GUINEA
BRITISH WEST INDIES,UNITED KINGDOM
CENTRAL PACIFIC,PACIFIC OCEAN
DIEGO GARCIA,UNITED KINGDOM
FRENCH POLYNESIA,FRANCE
GRAND CAYMAN,UNITED KINGDOM
MALDIVE ISLANDS,MALDIVES
NEVIS,SAINT KITTS AND NEVIS
NEW CALEDONIA,FRANCE
OKINAWA,JAPAN
REUNION,FRANCE
ST MARTIN,FRANCE / NETHERLANDS
TOBAGO,TRINIDAD AND TOBAGO
